datetime,inflow_mean,inflow_top10,inflow_total
2023-09-15T06:00:00Z,0.58812056,343.11077531,424.62304697
2023-09-15T07:00:00Z,0.08725398,39.00816777,71.19925074
2023-09-15T08:00:00Z,0.82560684,617.10289726,676.99761117
2023-09-15T09:00:00Z,0.14851028,91.82998979,149.84686799
2023-09-15T10:00:00Z,1.12275711,1109.6839258,1428.14703928
2023-09-15T11:00:00Z,0.07561408,44.25977519,76.21899016
2023-09-15T12:00:00Z,0.2243683,213.33736825,272.38311105
2023-09-15T13:00:00Z,0.44211655,441.63201409,553.08780215
2023-09-15T14:00:00Z,0.8213999,910.92640301,1228.81425676
2023-09-15T15:00:00Z,0.05987541,15.8453488,71.19186629
2023-09-15T16:00:00Z,0.08509725,43.25855848,103.3931539
2023-09-15T17:00:00Z,0.34441276,430.70904562,547.27187016
2023-09-15T18:00:00Z,0.43732412,504.17996207,610.06715002
2023-09-15T19:00:00Z,0.13982395,102.4948963,160.51789799
2023-09-15T20:00:00Z,0.14490946,82.91910596,130.12869524
2023-09-15T21:00:00Z,0.49626899,584.33541928,688.82135319
2023-09-15T22:00:00Z,0.58292671,388.42567961,456.43161784
2023-09-15T23:00:00Z,0.11901406,75.80725806,128.77321381
2023-09-16T00:00:00Z,1.84559347,878.37709748,1184.8710071
2023-09-16T01:00:00Z,0.17003695,46.0335623,74.64621993
2023-09-16T02:00:00Z,0.75099225,434.12573036,500.91183077
2023-09-16T03:00:00Z,0.18233129,60.37329311,72.02086023
2023-09-16T04:00:00Z,0.81962796,261.55845319,284.41090145
2023-09-16T05:00:00Z,0.05433413,10.36658857,23.85268421
2023-09-16T06:00:00Z,0.78984909,553.62379593,638.98791625
2023-09-16T07:00:00Z,0.14203358,80.11833006,114.05296078
2023-09-16T08:00:00Z,0.62494774,417.76043331,471.83554208
2023-09-16T09:00:00Z,0.11413317,65.82656403,89.70867026
2023-09-16T10:00:00Z,0.41826943,343.16912663,379.37037107
2023-09-16T11:00:00Z,0.04549025,20.53929169,40.71377819
2023-09-16T12:00:00Z,0.74217872,573.76503537,655.34380871
2023-09-16T13:00:00Z,0.11845164,58.99065511,89.78634052
2023-09-16T14:00:00Z,0.61459117,562.80586837,639.17481167
2023-09-16T15:00:00Z,0.10734971,86.77913399,122.37867289
2023-09-16T16:00:00Z,0.97745997,393.57916979,440.83444531
2023-09-16T17:00:00Z,0.04595737,19.47240936,71.32583939
2023-09-16T18:00:00Z,0.64821504,590.76768325,652.10433254
2023-09-16T19:00:00Z,0.09675676,55.10746195,98.11135014
2023-09-16T20:00:00Z,0.37497344,235.26897969,275.23050658
2023-09-16T21:00:00Z,0.12621884,62.97484007,97.56716131
2023-09-16T22:00:00Z,0.4357964,263.65994151,337.30641073
2023-09-16T23:00:00Z,0.09249136,17.29013662,44.76581959
2023-09-17T00:00:00Z,0.587313,232.88281017,249.60802426
2023-09-17T01:00:00Z,0.29599134,63.61825195,87.31744584
2023-09-17T02:00:00Z,0.65922,342.32752754,379.05150283
2023-09-17T03:00:00Z,0.10808838,21.08000218,26.80591723
2023-09-17T04:00:00Z,1.34162712,522.90416885,582.26617188
2023-09-17T05:00:00Z,0.04766617,9.68959719,18.20847584
2023-09-17T06:00:00Z,0.58405312,270.02482498,297.86709243
2023-09-17T07:00:00Z,0.12093464,48.0938267,61.91853426
2023-09-17T08:00:00Z,0.3722533,246.19713726,288.49630499
2023-09-17T09:00:00Z,0.03704655,9.7873054,20.85720938
2023-09-17T10:00:00Z,0.38206999,238.90693718,269.74141376
2023-09-17T11:00:00Z,0.14007033,84.27457634,106.17331161
2023-09-17T12:00:00Z,0.68944434,411.63971417,491.57381466
2023-09-17T13:00:00Z,0.09048332,22.11573803,29.04514658
2023-09-17T14:00:00Z,0.08416891,13.13556901,16.32876918
2023-09-17T15:00:00Z,0.30203495,419.70611407,494.73324535
2023-09-17T16:00:00Z,0.58292559,440.30339953,523.4671837
2023-09-17T17:00:00Z,0.04535041,15.23820847,34.28491339
2023-09-17T18:00:00Z,0.70179014,404.31867776,437.21525933
2023-09-17T19:00:00Z,0.10923604,82.66381945,116.99179948
2023-09-17T20:00:00Z,0.65218317,399.59607228,449.35420197
2023-09-17T21:00:00Z,0.03321691,6.26099358,25.47736924
2023-09-17T22:00:00Z,0.45799747,200.5708403,230.83072553
2023-09-17T23:00:00Z,0.03783453,4.93023963,16.60935857
2023-09-18T00:00:00Z,0.52008012,169.68197768,193.46980358
2023-09-18T01:00:00Z,0.2850794,97.12006244,109.18541055
2023-09-18T02:00:00Z,0.80439571,292.10805131,328.19345029
2023-09-18T03:00:00Z,0.15293688,38.72383516,49.85742341
2023-09-18T04:00:00Z,2.02129374,500.24226361,572.02612765
2023-09-18T05:00:00Z,0.25909924,79.33957618,90.42563421
2023-09-18T06:00:00Z,0.68922967,432.72108359,480.39307969
2023-09-18T07:00:00Z,0.05903894,16.95731542,34.30162339
2023-09-18T08:00:00Z,0.82969856,560.39774637,631.40060454
2023-09-18T09:00:00Z,0.26448497,153.61480217,181.70117415
2023-09-18T10:00:00Z,1.2090484,864.31702726,1053.08115492
2023-09-18T11:00:00Z,0.36096894,153.04150874,202.86454387
2023-09-18T12:00:00Z,1.06897315,802.83151094,1293.45751418
2023-09-18T13:00:00Z,0.28647945,228.700165,290.49016675
2023-09-18T14:00:00Z,1.64477998,749.7578551,1133.25340835
2023-09-18T15:00:00Z,0.05608166,15.62864316,42.28557104
2023-09-18T16:00:00Z,0.24664059,151.41394053,186.70692605
2023-09-18T17:00:00Z,0.86228518,803.56720035,1110.62330715
2023-09-18T18:00:00Z,0.62254466,835.0308301,1165.40359863
2023-09-18T19:00:00Z,0.09349038,56.21310042,109.38374589
2023-09-18T20:00:00Z,0.76937418,447.8081654,497.01571754
2023-09-18T21:00:00Z,0.19870581,124.33327833,166.91287889
2023-09-18T22:00:00Z,0.08105661,21.18656199,32.99003928
2023-09-18T23:00:00Z,0.35062426,243.91366225,309.250596
2023-09-19T00:00:00Z,0.9566196,460.94017878,507.00838774
2023-09-19T01:00:00Z,0.16593762,72.76349476,113.83320415
2023-09-19T02:00:00Z,0.73557249,406.08342286,470.76639095
2023-09-19T03:00:00Z,0.0746488,19.40489542,44.19209114
2023-09-19T04:00:00Z,2.00435596,624.96409896,743.61606186
2023-09-19T05:00:00Z,0.2414155,95.25459352,119.01784169
2023-09-19T06:00:00Z,0.6673085,472.92252178,517.83139743
2023-09-19T07:00:00Z,0.0645169,20.94985899,40.77468031
2023-09-19T08:00:00Z,0.46390617,435.24827838,514.00803643
2023-09-19T09:00:00Z,1.0003478,873.23463255,939.32658225
2023-09-19T10:00:00Z,0.13496667,47.39946639,65.99870194
2023-09-19T11:00:00Z,0.79314618,978.62995888,1192.09871506
2023-09-19T12:00:00Z,1.37124765,824.50711656,1186.12921742
2023-09-19T13:00:00Z,0.14321138,69.54284358,144.35706627
2023-09-19T14:00:00Z,0.84434442,674.59317593,914.42501008
2023-09-19T15:00:00Z,0.08248291,37.45219603,88.00926368
2023-09-19T16:00:00Z,0.06039298,11.67946766,24.57994415
